Map Name,Series ID,Published GIS Uploaded to Postgres,Publication Year,Vector GIS Published,Tabular GIS Altered,Unit Symbol Source,Unit Name Source,Unit Description Source,Unit Age Source,Notes,genesis Source,composition Source,source Source,confidence Source
Wildcat Mountain and Currie Quads,OFR-773,FALSE,2025,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Fort Douglas Quad,OFR-767,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Ogden Bay Quad,OFR-766,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Both,Internal GIS Database,"*There’s no unit description in the internal GIS attribute table for Qlam/Qs, so Qlam and Qs's unit descriptions were concatenated together. All other descriptions come straight from the internal GIS database as-is.",,,,
Plain City SW Quad,OFR-765,FALSE,2024,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Parowan Quad,OFR-764,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Kamas Quad,OFR-763,FALSE,2024,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Vernal NE Quad,OFR-762,FALSE,2024,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Midvale Quad,OFR-761,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Browns Hole Quad,OFR-760,FALSE,2023,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Promentory Point Quad,OFR-739,FALSE,2021,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Bonneville Salt Flats Quad,OFR-731,FALSE,2020,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Burrville Quad,OFR-696,FALSE,2019,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
