# Golden control set: the control points that
# perimeter.build_perimeter_gcps(gray, seeds, per_edge=60) emits for
# out/working_a.png with data/corner_seeds.json. Columns are lon,lat,px,py -
# geography first, because the comparison is keyed on it; perimeter itself
# returns the tuples as (px, py, lon, lat).
#
# This file is an expectation, not an input: nothing in the pipeline reads it.
# It exists so that a change to a tracing constant large enough to move a
# control point 0.25 px fails a test instead of silently moving all 123
# published pins. See tests/test_perimeter.py.
#
# Regenerate deliberately, never to make a test pass, with the snippet in
# tests/test_perimeter.py::test_gcps_match_the_committed_golden_control_set.
lon,lat,px,py
-114.050638889,42.000000000,564.5829,549.8663
-114.000638889,42.000000000,584.9868,550.0685
-113.950638889,42.000000000,605.5305,546.2543
-113.900638889,42.000000000,626.1518,542.8897
-113.850638889,42.000000000,646.8374,539.9448
-113.800638889,42.000000000,667.5837,537.4790
-113.450638889,42.000000000,813.3842,525.9491
-113.400638889,42.000000000,834.2515,524.9258
-113.350638889,42.000000000,855.1120,523.9263
-112.950638889,42.000000000,1022.1445,517.8374
-112.900638889,42.000000000,1043.0323,517.4955
-112.850638889,42.000000000,1063.9190,516.9960
-112.800638889,42.000000000,1084.7981,516.3964
-112.700638889,42.000000000,1126.5796,515.5353
-112.650638889,42.000000000,1147.4695,515.1040
-112.600638889,42.000000000,1168.3608,514.7462
-112.550638889,42.000000000,1189.2481,514.1744
-112.500638889,42.000000000,1210.1379,513.7284
-112.450638889,42.000000000,1231.0236,513.1103
-112.400638889,42.000000000,1251.9149,512.7605
-112.350638889,42.000000000,1272.8010,512.1651
-112.300638889,42.000000000,1293.6873,511.6006
-112.250638889,42.000000000,1314.5750,511.0577
-112.200638889,42.000000000,1335.4596,510.4214
-112.150638889,42.000000000,1356.3466,509.8515
-112.100638889,42.000000000,1377.2295,509.1560
-112.050638889,42.000000000,1398.1172,508.6244
-112.000638889,42.000000000,1419.0030,508.0217
-111.950638889,42.000000000,1439.8809,507.2520
-111.900638889,42.000000000,1460.7493,506.2292
-111.500638889,42.000000000,1627.8020,500.7692
-111.450638889,42.000000000,1648.6915,500.4529
-111.400638889,42.000000000,1669.5772,499.8226
-111.350638889,42.000000000,1690.4602,499.1282
-111.300638889,42.000000000,1711.3417,498.3900
-111.250638889,42.000000000,1732.2255,497.6996
-111.200638889,42.000000000,1753.1059,496.9318
-111.150638889,42.000000000,1773.9873,496.1908
-111.100638889,42.000000000,1794.8705,495.4857
-111.050638889,42.000000000,1815.7540,494.7985
-111.050638889,41.983333333,1815.6721,504.9878
-111.050638889,41.966666667,1815.6891,515.1773
-111.050638889,41.950000000,1815.7131,525.3668
-111.050638889,41.933333333,1815.7335,535.5564
-111.050638889,41.916666667,1815.7301,545.7459
-111.050638889,41.900000000,1815.6160,555.9339
-111.050638889,41.550000000,1815.1997,769.9108
-111.050638889,41.533333333,1815.3655,780.0987
-111.050638889,41.516666667,1815.6291,790.2848
-111.050638889,41.500000000,1815.6495,800.4727
-111.050638889,41.483333333,1815.4888,810.6610
-111.050638889,41.466666667,1815.3402,820.8495
-111.050638889,41.450000000,1815.1951,831.0380
-111.050638889,41.433333333,1815.0347,841.2263
-111.050638889,41.416666667,1814.8810,851.4146
-111.050638889,41.400000000,1814.7201,861.6029
-111.050638889,41.383333333,1814.5846,871.7916
-111.050638889,41.366666667,1814.3743,881.9790
-111.050638889,41.350000000,1814.3328,892.1671
-111.050638889,41.333333333,1814.5068,902.3552
-111.050638889,41.316666667,1814.7074,912.5428
-111.050638889,41.300000000,1814.6641,922.7309
-111.050638889,41.283333333,1814.5102,932.9193
-111.050638889,41.266666667,1814.4143,943.1052
-111.050638889,41.250000000,1814.1595,953.2853
-111.050638889,41.233333333,1813.8793,963.4668
-111.050638889,41.216666667,1813.5600,973.6469
-111.050638889,41.200000000,1813.7754,983.8299
-111.050638889,41.183333333,1813.6497,994.0187
-111.050638889,41.166666667,1813.5306,1004.2076
-111.050638889,41.150000000,1813.3871,1014.3961
-111.050638889,41.133333333,1813.3677,1024.5842
-111.050638889,41.116666667,1813.5157,1034.7727
-111.050638889,41.100000000,1813.6595,1044.9612
-111.050638889,41.083333333,1813.5191,1055.1485
-111.050638889,41.066666667,1813.2893,1065.3354
-111.050638889,41.050000000,1813.0928,1075.5230
-111.050638889,41.033333333,1812.8610,1085.7100
-111.050638889,41.016666667,1812.5991,1095.8958
-111.050638889,41.000000000,1812.9320,1106.0799
-110.917305556,41.000000000,1875.3257,1103.9002
-110.883972222,41.000000000,1890.8807,1102.6807
-110.850638889,41.000000000,1906.4778,1102.0890
-110.817305556,41.000000000,1922.0763,1101.5435
-110.783972222,41.000000000,1937.6731,1100.9472
-110.750638889,41.000000000,1953.2674,1100.2885
-110.717305556,41.000000000,1968.8650,1099.7038
-110.683972222,41.000000000,1984.4633,1099.1747
-110.650638889,41.000000000,2000.0573,1098.5221
-110.617305556,41.000000000,2015.6592,1098.0660
-110.583972222,41.000000000,2031.2504,1097.3618
-110.550638889,41.000000000,2046.8450,1096.7227
-110.517305556,41.000000000,2062.4407,1096.1040
-110.483972222,41.000000000,2078.0303,1095.3452
-110.450638889,41.000000000,2093.6310,1094.8560
-110.417305556,41.000000000,2109.2213,1094.1228
-110.383972222,41.000000000,2124.8208,1093.6004
-110.350638889,41.000000000,2140.4121,1092.8936
-110.317305556,41.000000000,2156.0046,1092.2079
-110.283972222,41.000000000,2171.6006,1091.6051
-110.250638889,41.000000000,2187.1939,1090.9334
-110.217305556,41.000000000,2202.7943,1090.4428
-110.183972222,41.000000000,2218.3862,1089.7381
-110.150638889,41.000000000,2233.9854,1089.2351
-110.050638889,41.000000000,2280.7804,1087.5584
-110.017305556,41.000000000,2296.3684,1086.8844
-109.983972222,41.000000000,2311.9635,1086.2642
-109.950638889,41.000000000,2327.5670,1085.9396
-109.883972222,41.000000000,2358.7608,1084.7806
-109.850638889,41.000000000,2374.3440,1083.9248
-109.817305556,41.000000000,2389.9225,1082.9935
-109.783972222,41.000000000,2405.5201,1082.4327
-109.750638889,41.000000000,2421.1175,1081.8606
-109.717305556,41.000000000,2436.7083,1081.1402
-109.683972222,41.000000000,2452.3053,1080.5464
-109.650638889,41.000000000,2467.8978,1079.8650
-109.617305556,41.000000000,2483.4926,1079.2277
-109.583972222,41.000000000,2499.0923,1078.7046
-109.550638889,41.000000000,2514.6880,1078.0739
-109.517305556,41.000000000,2530.2808,1077.3747
-109.483972222,41.000000000,2545.8775,1076.7673
-109.450638889,41.000000000,2561.4677,1076.0324
-109.417305556,41.000000000,2577.0609,1075.3569
-109.383972222,41.000000000,2592.6579,1074.7575
-109.350638889,41.000000000,2608.2498,1074.0478
-109.317305556,41.000000000,2623.8385,1073.2719
-109.283972222,41.000000000,2639.4283,1072.5058
-109.250638889,41.000000000,2655.0163,1071.7095
-109.217305556,41.000000000,2670.6051,1070.9293
-109.183972222,41.000000000,2686.1951,1070.1843
-109.150638889,41.000000000,2701.7843,1069.4251
-109.117305556,41.000000000,2717.3704,1068.6009
-109.083972222,41.000000000,2732.9594,1067.8277
-109.050638889,41.000000000,2748.5387,1066.9103
-109.050638889,40.933333333,2747.8038,1108.0501
-109.050638889,40.866666667,2747.6580,1149.2136
-109.050638889,40.800000000,2747.3867,1190.3764
-109.050638889,40.733333333,2746.9492,1231.5374
-109.050638889,40.666666667,2746.6737,1272.7002
-109.050638889,40.600000000,2746.1688,1313.8608
-109.050638889,40.533333333,2745.9429,1355.0237
-109.050638889,40.333333333,2745.0248,1478.5112
-109.050638889,40.266666667,2744.3764,1519.6691
-109.050638889,40.200000000,2743.6781,1560.8270
-109.050638889,40.133333333,2743.1544,1601.9875
-109.050638889,40.066666667,2742.9219,1643.1498
-109.050638889,40.000000000,2743.1192,1684.3132
-109.050638889,39.933333333,2743.7499,1725.4670
-109.050638889,39.800000000,2744.9469,1807.7856
-109.050638889,39.733333333,2745.5325,1848.9410
-109.050638889,39.666666667,2746.4344,1890.0950
-109.050638889,39.600000000,2747.2018,1931.2517
-109.050638889,39.533333333,2747.9756,1972.4079
-109.050638889,39.466666667,2748.6204,2013.5667
-109.050638889,39.400000000,2749.2006,2054.7264
-109.050638889,39.333333333,2749.6573,2095.8876
-109.050638889,39.266666667,2750.1138,2137.0489
-109.050638889,39.200000000,2750.3122,2178.2117
-109.050638889,39.066666667,2751.1803,2260.5344
-109.050638889,39.000000000,2751.4341,2301.6969
-109.050638889,38.933333333,2751.6414,2342.8601
-109.050638889,38.866666667,2751.6625,2384.0234
-109.050638889,38.800000000,2751.8029,2425.1867
-109.050638889,38.733333333,2751.8997,2466.3499
-109.050638889,38.666666667,2752.0189,2507.5133
-109.050638889,38.600000000,2752.1482,2548.6765
-109.050638889,38.533333333,2752.1507,2589.8401
-109.050638889,38.466666667,2752.3340,2631.0032
-109.050638889,38.400000000,2752.4253,2672.1668
-109.050638889,38.333333333,2753.0899,2713.3241
-109.050638889,38.266666667,2754.9514,2754.4436
-109.050638889,38.200000000,2757.8806,2795.5028
-109.050638889,38.133333333,2760.3373,2836.5904
-109.050638889,38.066666667,2761.4620,2877.7365
-109.050638889,38.000000000,2761.5649,2918.9003
-109.050638889,37.933333333,2761.7879,2960.0630
-109.050638889,37.866666667,2762.0710,3001.2255
-109.050638889,37.800000000,2762.1136,3042.3892
-109.050638889,37.733333333,2762.3904,3083.5519
-109.050638889,37.666666667,2762.3079,3124.7152
-109.050638889,37.600000000,2762.3356,3165.8790
-109.050638889,37.533333333,2762.2235,3207.0426
-109.050638889,37.466666667,2762.2998,3248.2063
-109.050638889,37.400000000,2762.1961,3289.3701
-109.050638889,37.333333333,2761.9785,3330.5333
-109.050638889,37.266666667,2761.8506,3371.6966
-109.050638889,37.200000000,2761.8001,3412.8604
-109.050638889,37.133333333,2761.6894,3454.0240
-109.050638889,37.066666667,2761.3518,3495.1860
-109.050638889,37.000000000,2761.0810,3536.3481
-109.133972222,37.000000000,2722.3444,3535.8081
-109.217305556,37.000000000,2683.5757,3535.6541
-109.300638889,37.000000000,2644.8097,3535.2017
-109.383972222,37.000000000,2606.0447,3534.6516
-109.467305556,37.000000000,2567.2841,3533.8465
-109.550638889,37.000000000,2528.5214,3533.1621
-109.633972222,37.000000000,2489.7593,3532.4462
-109.717305556,37.000000000,2450.9939,3531.9256
-109.800638889,37.000000000,2412.2283,3531.4194
-109.883972222,37.000000000,2373.4633,3530.8853
-109.967305556,37.000000000,2334.7006,3530.2090
-110.050638889,37.000000000,2295.9395,3529.4366
-110.133972222,37.000000000,2257.1802,3528.5772
-110.217305556,37.000000000,2218.4214,3527.6894
-110.300638889,37.000000000,2179.6619,3526.8615
-110.633972222,37.000000000,2024.7057,3520.8350
-110.717305556,37.000000000,1985.9851,3518.9757
-110.800638889,37.000000000,1947.2554,3517.2423
-110.883972222,37.000000000,1908.5285,3515.4448
-110.967305556,37.000000000,1869.8000,3513.6827
-111.050638889,37.000000000,1831.0712,3511.9257
-111.133972222,37.000000000,1792.3461,3510.0890
-111.217305556,37.000000000,1753.6220,3508.2282
-111.300638889,37.000000000,1714.8984,3506.3563
-111.383972222,37.000000000,1676.1683,3504.6362
-111.467305556,37.000000000,1637.4457,3502.7423
-111.550638889,37.000000000,1598.7222,3500.8774
-111.633972222,37.000000000,1560.0042,3498.9038
-111.717305556,37.000000000,1521.2805,3497.0366
-111.800638889,37.000000000,1482.5560,3495.1875
-111.883972222,37.000000000,1443.8312,3493.3448
-111.967305556,37.000000000,1405.1101,3491.4239
-112.050638889,37.000000000,1366.3915,3489.4540
