chart_id,chart_title,index_label,source_filename,chart_type,longitude,latitude,state,image_url,thumbnail_url,preview_url,position_uncertainty_m,source_title,source_authors,source_year,source_publisher,source_url,source_series
1,"Albion Mountains, Idaho",Albion,001_Albion.jpg,stratigraphic_column,-113.639769,42.086661,ID,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F001_Albion.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F001_Albion.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F001_Albion.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
2,Raft River Range,Raft River,002_RaftRiver.jpg,stratigraphic_column,-113.417086,41.915036,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F002_RaftRiver.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F002_RaftRiver.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F002_RaftRiver.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
3,Strevell – Black Pine Mts,Strevell,003_Strevell.jpg,stratigraphic_column,-113.159693,42.044612,ID,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F003_Strevell.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F003_Strevell.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F003_Strevell.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
4,"Curlew Valley – Sublette Range, Utah–Idaho",Curlew Valley,004_CurlewValley.jpg,stratigraphic_column,-112.750286,42.006586,ID,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F004_CurlewValley.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F004_CurlewValley.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F004_CurlewValley.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
5,Goose Creek & Rhyolite Mts,Goose Creek,005_GooseCreek.jpg,stratigraphic_column,-113.969509,41.819863,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F005_GooseCreek.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F005_GooseCreek.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F005_GooseCreek.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
6,Grouse Creek & Matlin Mts,Grouse Creek,006_GrouseCreek.jpg,stratigraphic_column,-113.701106,41.663430,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F006_GrouseCreek.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F006_GrouseCreek.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F006_GrouseCreek.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
7,Blue Spring Hills,Blue Spring,007_BlueSpring.jpg,stratigraphic_column,-112.376867,41.694634,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F007_BlueSpring.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F007_BlueSpring.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F007_BlueSpring.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
8,"Portage, Utah – Samaria, Idaho",Portage,008_Portage.jpg,stratigraphic_column,-112.337427,41.945191,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F008_Portage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F008_Portage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F008_Portage.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
9,Terrace Mountain,Terrace Mountain,009_TerraceMountain.jpg,stratigraphic_column,-113.508680,41.482738,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F009_TerraceMountain.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F009_TerraceMountain.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F009_TerraceMountain.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
10,Hogup Mountains,Hogup,010_Hogup.jpg,stratigraphic_column,-113.185171,41.532578,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F010_Hogup.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F010_Hogup.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F010_Hogup.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
11,Lucin Area,Lucin,011_Lucin.jpg,stratigraphic_column,-114.010434,41.439292,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F011_Lucin.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F011_Lucin.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F011_Lucin.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
12,Lemay Island Area,Lemay Island,012_LemayIsland.jpg,stratigraphic_column,-113.764945,41.341045,UT,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2F012_LemayIsland.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fthumbs%2F012_LemayIsland.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/ut-dnr-ugs-geolmapportal-prod.firebasestorage.app/o/strat-charts%2Fpreviews%2F012_LemayIsland.jpg?alt=media,18000,Geologic History of Utah: A Field Guide to Utah's Rocks,"Hintze, L.F., and Kowallis, B.J.",2021,"Department of Geological Sciences, Brigham Young University, Provo, Utah",https://utahmapstore.com/products/geologic-history-of-utah-a-field-guide-to-utahs-rocks,
