chart_id,unit_seq,row_index,period,parent_unit,unit_name,unit_name_normalized,column_variant,thickness_text,thickness_min_ft,thickness_max_ft,lithology_pattern,notes,is_banner,note_spans,qa_flag
1,1,1,Q,,"Alluvium, Colluvium","Alluvium, Colluvium",,0-100,0,100,,,false,false,
1,2,2,Q,,"Glacial deposits, Albion Mts.","Glacial deposits, Albion Mts.",,0-50,0,50,,,false,false,
1,3,3,Q,,Snake River Basalt Group,Snake River Basalt Group,,0-200,0,200,,0.5 m.y.,false,false,
1,4,4,Q,,Raft Formation,Raft Formation,,0-300,0,300,,,false,false,
1,5,5,PLIO,Salt Lake Fm,Upper basin fill,Upper basin fill,,0-300,0,300,,,false,false,
1,6,6,MIOCENE,Salt Lake Fm,Upper tuffaceous mbr,Upper tuffaceous mbr,,0-4000,0,4000,,7 m.y. Cedar Knoll Tuff,false,false,
1,7,7,MIOCENE,Salt Lake Fm,Basalt of N. Cotterel Mt,Basalt of N. Cotterel Mt,,0-100,0,100,,,false,false,
1,8,8,MIOCENE,Jim Sage Volc Mbr,Upper rhyolite flows & domes,Upper rhyolite flows & domes,,0-1500,0,1500,,7-9 m.y.; 9-10 m.y.,false,false,
1,9,9,MIOCENE,Jim Sage Volc Mbr,Middle unit,Middle unit,,100-300,100,300,,vitrophyre breccia,false,false,
1,10,10,MIOCENE,Jim Sage Volc Mbr,Lower rhyolite flows,Lower rhyolite flows,,0-1500,0,1500,,"see Colgan et al., 2004; for age of volcanism in; Yellowstone hotspot; migrating north of the; Albion Mountains",false,false,
1,11,11,MIOCENE,Salt Lake Fm,Lower tuffaceous mbr,Lower tuffaceous mbr,,600-1500,600,1500,,Basin-Range UNCONFORMITY,false,false,
1,12,13,Φ,,Almo granitic pluton,Almo granitic pluton,,,,,,"31 m.y., see Link &; Fanning, 2005",false,false,
1,13,15,K,,CRETACEOUS DEFORMATION 70-80 M.Y. MADE NW-TRENDING FOLDS,CRETACEOUS DEFORMATION 70-80 Member.Y. MADE NW-TRENDING FOLDS,,,,,,,false,false,
1,14,17,J,,JURASSIC REGIONAL METAMORPHISM 160 M.Y. WITH NE-TRENDING FOLDS,JURASSIC REGIONAL METAMORPHISM 160 Member.Y. WITH NE-TRENDING FOLDS,,,,,,,false,false,
1,15,18,,,PRE-CENOZOIC ROCKS ARE IN FAULT-BOUNDED ATTENUATED SHEETS,PRE-CENOZOIC ROCKS ARE IN FAULT-BOUNDED ATTENUATED SHEETS,,,,,,,false,false,
1,16,19,TR,,Dinwoody Formation,Dinwoody Formation,,slice,,,,"molluscs, gastropods",false,false,
1,17,20,P,,"Rex Chert Mbr, Phosphoria Fm","Rex Chert Member, Phosphoria Formation",,slice,,,,,false,false,
1,18,21,IP,Oquirrh Group,Sandy limestone,Sandy limestone,,0-500,0,500,,,false,false,
1,19,22,IP,Oquirrh Group,West Canyon Ls?,West Canyon Limestone?,,0-200,0,200,,,false,false,
1,20,23,M,,Manning Canyon phyllite,Manning Canyon phyllite,,0-200,0,200,,"= Chainman Shale, black",false,false,
1,21,24,,,3000-4000 FEET OF SIL-DEV-MISS CARBONATE STRATA MISSING BY FAULTING HERE,3000-4000 FEET OF SIL-DEV-MISS CARBONATE STRATA MISSING BY FAULTING HERE,,,,,,,false,false,
1,22,25,ORDO,,Metamorphosed Ely Springs Dol,Metamorphosed Ely Springs Dolomite,,0-50,0,50,,,false,false,
1,23,26,ORDO,,Metamorphosed Eureka Qtz,Metamorphosed Eureka Qtz,,0-50,0,50,,,false,false,
1,24,27,ORDO,,Metamorphosed Pogonip Group,Metamorphosed Pogonip Group,,0-1000?,0,1000,,Kanosh Shale locally; present,false,false,
1,25,28,,,3000-5000 FEET OF CAMBRIAN CARBONATE ROCKS FOUND IN OTHER RANGES IN THE REGION ARE NOT RECOGNIZED IN THE ALBION AREA,3000-5000 FEET OF CAMBRIAN CARBONATE ROCKS FOUND IN OTHER RANGES IN THE REGION ARE NOT RECOGNIZED IN THE ALBION AREA,,,,,,,false,false,
1,26,29,NEOPROTEROZOIC,PARAUTOCHTHON,Schist of Mahogany Peaks or Quartzite of Thompson Flat,Schist of Mahogany Peaks or Quartzite of Thompson Flat,,0-300,0,300,,Harrison Summit; Quartzite; 2500 ft,false,false,
1,27,30,NEOPROTEROZOIC,PARAUTOCHTHON,Qtzt of Clarks Basin,Quartzite of Clarks Basin,,0-200,0,200,,Schist of,false,false,
1,28,31,NEOPROTEROZOIC,PARAUTOCHTHON,Schist of Stevens Spring,Schist of Stevens Spring,,100-500,100,500,,Willow Creek; 1600 ft,false,false,
1,29,32,NEOPROTEROZOIC,PARAUTOCHTHON,Quartzite of Yost,Quartzite of Yost,,0-100,0,100,,Daley Creek Qtzt,false,false,
1,30,33,NEOPROTEROZOIC,,DETACHMENT FAULT HERE,DETACHMENT FAULT HERE,,,,,,7000-8500 ft,false,false,
1,31,34,NEOPROTEROZOIC,AUTOCHTHON,Schist of Upper Narrows,Schist of Upper Narrows,,200-600,200,600,,Note: Correlation between; Mt Harrison sequence,false,false,
1,32,35,NEOPROTEROZOIC,AUTOCHTHON,Elba Quartzite,Elba Quartzite,,200-700,200,700,,"and other pre-Mesozoic; rocks is uncertain.; In addition, there",false,false,
1,33,36,NEOPROTEROZOIC,AUTOCHTHON,MAJOR UNCONFORMITY,MAJOR UNCONFORMITY,,,,,,are other tectonic,false,false,
1,34,37,ARCH'N,AUTOCHTHON,Green Creek Complex,Green Creek Complex,,"gneiss, biotite schist, amphibolite",,,,"sequences of smaller; extent whose original; identity is not known; Strickland et al., 2007; 2460 m.y. Rb-Sr; Armstrong & Hills, 1967",false,false,
2,1,1,Q,,"Alluvium, colluvium, landslides","Alluvium, colluvium, landslides",,0-100,0,100,,6000 yr Mazama ash,false,false,
2,2,2,Q,,Bonneville & glacial deposits,Bonneville & glacial deposits,,0-50,0,50,,,false,false,
2,3,3,P,,Basalt flows E. of Peplin Mts,Basalt flows E. of Peplin Mts,,0-100,0,100,,3.2 m.y.,false,false,
2,4,4,MIOCENE,,Dacite flows near Standrod,Dacite flows near Standrod,,0-100,0,100,,9 m.y. ?,false,false,
